NAME_x,LABEL_x,NAME_y,TYPE,LENGTH,LABEL_y,Source_URL,NAME_2
DISTNAME,District Name,DISTNAME,Character,75,District Name,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/xplore/ddrop_att.html,DISTNAME
DISTRICT,District Number,DISTRICT,Character,6,District Number,https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/xplore/ddrop_att.html,DISTRICT
DDA03AMA1S23R,Approaches Grade Level Grade 3 All Students STAAR Mathematics Rate,DDA03AMA1S23R,Numeric,8,"DISTRICT 2023 Domain 1A: Approaches Grade Level STD, Grade 3, All Students, STAAR Mathematics Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/diststaar1a.html,DDA03AMA1S23R
DDA03ARE1S23R,Approaches Grade Level Grade 3 All Students STAAR Reading/ELA Rate,DDA03ARE1S23R,Numeric,8,"DISTRICT 2023 Domain 1A: Approaches Grade Level STD, Grade 3, All Students, STAAR Reading/ELA Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/diststaar1a.html,DDA03ARE1S23R
DDA04AMA1S23R,Approaches Grade Level Grade 4 All Students STAAR Mathematics Rate,DDA04AMA1S23R,Numeric,8,"DISTRICT 2023 Domain 1A: Approaches Grade Level STD, Grade 4, All Students, STAAR Mathematics Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/diststaar1a.html,DDA04AMA1S23R
DDA04ARE1S23R,Approaches Grade Level Grade 4 All Students STAAR Reading/ELA Rate,DDA04ARE1S23R,Numeric,8,"DISTRICT 2023 Domain 1A: Approaches Grade Level STD, Grade 4, All Students, STAAR Reading/ELA Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/diststaar1a.html,DDA04ARE1S23R
DDA05AMA1S23R,Approaches Grade Level Grade 5 All Students STAAR Mathematics Rate,DDA05AMA1S23R,Numeric,8,"DISTRICT 2023 Domain 1A: Approaches Grade Level STD, Grade 5, All Students, STAAR Mathematics Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/diststaar1a.html,DDA05AMA1S23R
DDA05ARE1S23R,Approaches Grade Level Grade 5 All Students STAAR Reading/ELA Rate,DDA05ARE1S23R,Numeric,8,"DISTRICT 2023 Domain 1A: Approaches Grade Level STD, Grade 5, All Students, STAAR Reading/ELA Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/diststaar1a.html,DDA05ARE1S23R
DDA05ASC1S23R,Approaches Grade Level Grade 5 All Students STAAR Science Rate,DDA05ASC1S23R,Numeric,8,"DISTRICT 2023 Domain 1A: Approaches Grade Level STD, Grade 5, All Students, STAAR Science Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/diststaar1a.html,DDA05ASC1S23R
DDA06AMA1S23R,Approaches Grade Level Grade 6 All Students STAAR Mathematics Rate,DDA06AMA1S23R,Numeric,8,"DISTRICT 2023 Domain 1A: Approaches Grade Level STD, Grade 6, All Students, STAAR Mathematics Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/diststaar1b.html,DDA06AMA1S23R
DDA06ARE1S23R,Approaches Grade Level Grade 6 All Students STAAR Reading/ELA Rate,DDA06ARE1S23R,Numeric,8,"DISTRICT 2023 Domain 1A: Approaches Grade Level STD, Grade 6, All Students, STAAR Reading/ELA Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/diststaar1b.html,DDA06ARE1S23R
DDA07AMA1S23R,Approaches Grade Level Grade 7 All Students STAAR Mathematics Rate,DDA07AMA1S23R,Numeric,8,"DISTRICT 2023 Domain 1A: Approaches Grade Level STD, Grade 7, All Students, STAAR Mathematics Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/diststaar1b.html,DDA07AMA1S23R
DDA07ARE1S23R,Approaches Grade Level Grade 7 All Students STAAR Reading/ELA Rate,DDA07ARE1S23R,Numeric,8,"DISTRICT 2023 Domain 1A: Approaches Grade Level STD, Grade 7, All Students, STAAR Reading/ELA Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/diststaar1b.html,DDA07ARE1S23R
DDA08AMA1S23R,Approaches Grade Level Grade 8 All Students STAAR Mathematics Rate,DDA08AMA1S23R,Numeric,8,"DISTRICT 2023 Domain 1A: Approaches Grade Level STD, Grade 8, All Students, STAAR Mathematics Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/diststaar1b.html,DDA08AMA1S23R
DDA08ARE1S23R,Approaches Grade Level Grade 8 All Students STAAR Reading/ELA Rate,DDA08ARE1S23R,Numeric,8,"DISTRICT 2023 Domain 1A: Approaches Grade Level STD, Grade 8, All Students, STAAR Reading/ELA Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/diststaar1b.html,DDA08ARE1S23R
DDA08ASC1S23R,Approaches Grade Level Grade 8 All Students STAAR Science Rate,DDA08ASC1S23R,Numeric,8,"DISTRICT 2023 Domain 1A: Approaches Grade Level STD, Grade 8, All Students, STAAR Science Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/diststaar1b.html,DDA08ASC1S23R
DDA08ASS1S23R,Approaches Grade Level Grade 8 All Students STAAR Social Studies Rate,DDA08ASS1S23R,Numeric,8,"DISTRICT 2023 Domain 1A: Approaches Grade Level STD, Grade 8, All Students, STAAR Social Studies Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/diststaar1b.html,DDA08ASS1S23R
DDA03AMA1323R,Masters Grade Level Grade 3 All Students STAAR Mathematics Rate,DDA03AMA1323R,Numeric,8,"DISTRICT 2023 Domain 1A: Masters Grade Level STD, Grade 3, All Students, STAAR Mathematics Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/diststaar1a.html,DDA03AMA1323R
DDA03ARE1323R,Masters Grade Level Grade 3 All Students STAAR Reading/ELA Rate,DDA03ARE1323R,Numeric,8,"DISTRICT 2023 Domain 1A: Masters Grade Level STD, Grade 3, All Students, STAAR Reading/ELA Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/diststaar1a.html,DDA03ARE1323R
DDA04AMA1323R,Masters Grade Level Grade 4 All Students STAAR Mathematics Rate,DDA04AMA1323R,Numeric,8,"DISTRICT 2023 Domain 1A: Masters Grade Level STD, Grade 4, All Students, STAAR Mathematics Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/diststaar1a.html,DDA04AMA1323R
DDA04ARE1323R,Masters Grade Level Grade 4 All Students STAAR Reading/ELA Rate,DDA04ARE1323R,Numeric,8,"DISTRICT 2023 Domain 1A: Masters Grade Level STD, Grade 4, All Students, STAAR Reading/ELA Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/diststaar1a.html,DDA04ARE1323R
DDA05AMA1323R,Masters Grade Level Grade 5 All Students STAAR Mathematics Rate,DDA05AMA1323R,Numeric,8,"DISTRICT 2023 Domain 1A: Masters Grade Level STD, Grade 5, All Students, STAAR Mathematics Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/diststaar1a.html,DDA05AMA1323R
DDA05ARE1323R,Masters Grade Level Grade 5 All Students STAAR Reading/ELA Rate,DDA05ARE1323R,Numeric,8,"DISTRICT 2023 Domain 1A: Masters Grade Level STD, Grade 5, All Students, STAAR Reading/ELA Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/diststaar1a.html,DDA05ARE1323R
DDA05ASC1323R,Masters Grade Level Grade 5 All Students STAAR Science Rate,DDA05ASC1323R,Numeric,8,"DISTRICT 2023 Domain 1A: Masters Grade Level STD, Grade 5, All Students, STAAR Science Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/diststaar1a.html,DDA05ASC1323R
DDA06AMA1323R,Masters Grade Level Grade 6 All Students STAAR Mathematics Rate,DDA06AMA1323R,Numeric,8,"DISTRICT 2023 Domain 1A: Masters Grade Level STD, Grade 6, All Students, STAAR Mathematics Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/diststaar1b.html,DDA06AMA1323R
DDA06ARE1323R,Masters Grade Level Grade 6 All Students STAAR Reading/ELA Rate,DDA06ARE1323R,Numeric,8,"DISTRICT 2023 Domain 1A: Masters Grade Level STD, Grade 6, All Students, STAAR Reading/ELA Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/diststaar1b.html,DDA06ARE1323R
DDA07AMA1323R,Masters Grade Level Grade 7 All Students STAAR Mathematics Rate,DDA07AMA1323R,Numeric,8,"DISTRICT 2023 Domain 1A: Masters Grade Level STD, Grade 7, All Students, STAAR Mathematics Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/diststaar1b.html,DDA07AMA1323R
DDA07ARE1323R,Masters Grade Level Grade 7 All Students STAAR Reading/ELA Rate,DDA07ARE1323R,Numeric,8,"DISTRICT 2023 Domain 1A: Masters Grade Level STD, Grade 7, All Students, STAAR Reading/ELA Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/diststaar1b.html,DDA07ARE1323R
DDA08AMA1323R,Masters Grade Level Grade 8 All Students STAAR Mathematics Rate,DDA08AMA1323R,Numeric,8,"DISTRICT 2023 Domain 1A: Masters Grade Level STD, Grade 8, All Students, STAAR Mathematics Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/diststaar1b.html,DDA08AMA1323R
DDA08ARE1323R,Masters Grade Level Grade 8 All Students STAAR Reading/ELA Rate,DDA08ARE1323R,Numeric,8,"DISTRICT 2023 Domain 1A: Masters Grade Level STD, Grade 8, All Students, STAAR Reading/ELA Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/diststaar1b.html,DDA08ARE1323R
DDA08ASC1323R,Masters Grade Level Grade 8 All Students STAAR Science Rate,DDA08ASC1323R,Numeric,8,"DISTRICT 2023 Domain 1A: Masters Grade Level STD, Grade 8, All Students, STAAR Science Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/diststaar1b.html,DDA08ASC1323R
DDA08ASS1323R,Masters Grade Level Grade 8 All Students STAAR Social Studies Rate,DDA08ASS1323R,Numeric,8,"DISTRICT 2023 Domain 1A: Masters Grade Level STD, Grade 8, All Students, STAAR Social Studies Rate",https://rptsvr1.tea.texas.gov/perfreport/tapr/2023/download/diststaar1b.html,DDA08ASS1323R
